id,timeid,z_neighbour,z_state
191,1,-0.42,-0.24
191,2,-0.06,0.06
191,3,-0.31,-0.06
191,4,-0.36,-0.07
191,5,-0.67,-0.34
191,6,-0.90,-0.41
191,7,-0.97,-0.24
192,1,-0.52,-0.41
192,2,-0.40,-0.18
192,3,-0.52,-0.49
192,4,-0.32,-0.30
192,5,0.64,1.25
192,6,0.68,1.01
192,7,0.62,0.68
193,1,2.24,0.67
193,2,-0.45,-0.22
193,3,1.89,2.53
193,4,0.38,1.07
193,5,5.47,0.61
193,6,6.63,0.37
193,7,4.57,0.53
194,1,0,-0.50
194,2,0,0
194,3,1.86,-0.27
194,4,3.05,-0.40
194,5,-0.45,-0.56
194,6,-0.01,-0.56
194,7,0.83,-0.42
195,1,-0.50,-0.28
195,2,0,-0.28
195,3,-0.91,-0.59
195,4,0.26,0.67
195,5,-1.42,-1.13
195,6,-0.36,-0.15
195,7,-0.14,0.20
196,1,-0.46,-0.17
196,2,-0.60,-0.52
196,3,-0.64,-0.42
196,4,-0.74,-0.30
196,5,-1.26,-0.36
196,6,-1.24,-0.48
196,7,-0.95,-0.32
197,1,0,-0.20
197,2,7.52,0.63
197,3,-0.59,-0.26
197,4,-4.33,-0.75
197,5,-0.75,-0.29
197,6,-0.45,-0.04
197,7,1.45,0.41
198,1,0,-0.17
198,2,-0.82,-0.52
198,3,-4.16,-0.51
198,4,-0.83,-0.44
198,5,0.22,-0.22
198,6,0.98,-0.30
198,7,236.75,-0.02
199,1,-0.92,-0.46
199,2,-0.51,-0.23
199,3,-0.50,-0.21
199,4,-0.52,-0.28
199,5,-0.80,-0.44
199,6,-1.07,-0.51
199,7,-1.23,-0.50
200,1,0,-0.25
200,2,0,-0.39
200,3,0.54,-0.21
200,4,-1.62,-0.84
200,5,-1.38,-0.45
200,6,-1.09,-0.77
200,7,-1.65,-0.71
201,1,-0.45,-0.24
201,2,-0.16,-0.19
201,3,-0.96,-0.60
201,4,-1.04,-0.46
201,5,-1.16,-0.51
201,6,-0.81,-0.37
201,7,-0.65,-0.24
202,1,-0.44,-0.05
202,2,0.27,0.22
202,3,-0.51,0.02
202,4,-0.16,1.07
202,5,-0.33,0.05
202,6,-0.62,-0.40
202,7,-0.51,-0.35
203,1,8.17,-0.20
203,2,1.93,-0.22
203,3,-1.00,-0.29
203,4,-0.58,-0.36
203,5,-0.37,-0.42
203,6,-0.32,-0.52
203,7,-0.23,-0.55
204,1,-0.50,-0.41
204,2,-0.89,-0.43
204,3,-1.39,-0.67
204,4,-1.38,-0.77
204,5,-0.57,-0.75
204,6,-0.75,-0.69
204,7,-0.49,-0.48
205,1,-0.68,-0.20
205,2,-1.37,-0.24
205,3,0.50,0.56
205,4,-0.54,0.10
205,5,-0.75,-0.44
205,6,-0.75,-0.52
205,7,-0.78,-0.57
206,1,0,-0.36
206,2,2.83,1.51
206,3,0.23,0.48
206,4,-0.56,-0.67
206,5,-0.72,-0.31
206,6,0.12,-0.13
206,7,-1.02,-0.62
207,1,2.87,0
207,2,2.87,0.00
207,3,4.96,0.57
207,4,0.41,-0.20
207,5,3.68,0.08
207,6,10.08,0.82
207,7,5.58,0.25
209,1,-0.65,-0.42
209,2,-0.78,-0.60
209,3,-0.74,-1.11
209,4,-0.96,-0.67
209,5,-0.62,-0.35
209,6,-0.47,-0.44
209,7,-0.56,-0.46
210,1,-0.45,-0.33
210,2,0.13,0.68
210,3,-0.58,-0.30
210,4,-0.89,-0.36
210,5,-0.99,-0.81
210,6,0.04,-0.06
210,7,-0.79,-0.51
211,1,-0.46,-0.35
211,2,-0.46,-0.60
211,3,-0.84,-0.77
211,4,-0.44,-0.75
211,5,-1.14,-0.83
211,6,-0.24,-0.71
211,7,-0.63,-0.82
212,1,0,-0.35
212,2,-0.96,-0.60
212,3,-1.06,-0.78
212,4,-1.30,-0.86
212,5,-1.08,-0.73
212,6,-0.99,-0.76
212,7,-1.01,-0.83
213,1,-0.70,-0.40
213,2,0,0
213,3,-0.70,-0.40
213,4,-0.96,-0.78
213,5,-0.67,-0.51
213,6,-0.69,-0.62
213,7,-0.72,-0.71
214,1,-0.50,-0.24
214,2,-1.02,-0.44
214,3,-1.00,-0.64
214,4,-0.44,-0.42
214,5,-0.01,-0.04
214,6,-0.52,-0.32
214,7,-0.48,-0.45
215,1,0,-0.28
215,2,0,-0.28
215,3,-0.60,-0.40
215,4,-1.04,-1.05
215,5,-1.13,-1.24
215,6,0.41,-0.33
215,7,-1.35,-0.51
216,1,4.20,0
216,2,-0.75,0
216,3,9.05,0
216,4,2.30,0
216,5,1.01,0
216,6,1.78,0
216,7,47.84,0
217,1,-0.48,-0.33
217,2,-0.57,-0.26
217,3,-0.42,-0.29
217,4,-0.37,-0.37
217,5,-0.27,-0.46
217,6,-0.29,-0.55
217,7,-0.12,-0.46
218,1,0,0
218,2,-0.50,-0.20
218,3,-0.38,9.80
218,4,3.07,8.40
218,5,-0.15,0.60
218,6,-0.29,1.28
218,7,2.47,0.72
219,1,0,-0.17
219,2,0,-0.52
219,3,-0.08,-0.47
219,4,-1.44,-0.49
219,5,-0.74,-0.39
219,6,-0.64,-0.60
219,7,-0.66,-0.31
220,1,0,-0.56
220,2,-0.42,-0.68
220,3,-1.17,-0.50
220,4,-1.49,-0.45
220,5,-4.09,-0.71
220,6,-1.71,-1.24
220,7,-3.06,-1.50
221,1,-0.82,-0.20
221,2,-0.63,-0.32
221,3,-1.48,-0.76
221,4,-1.06,-0.44
221,5,-0.84,-0.09
221,6,-1.09,-0.65
221,7,-0.57,-0.44
222,1,0,3.50
222,2,25.27,15.02
222,3,46.01,66.72
222,4,53.37,72.34
222,5,27.17,19.59
222,6,17.36,11.17
222,7,21.37,10.72
223,1,0,-0.20
223,2,-0.71,-0.24
223,3,-0.43,-0.30
223,4,-0.17,-0.25
223,5,-0.27,-0.12
223,6,-0.53,-0.31
223,7,-0.53,-0.30
224,1,-0.45,-0.20
224,2,-0.52,-0.21
224,3,-0.66,-0.32
224,4,-0.55,-0.28
224,5,-0.68,-0.40
224,6,-0.52,-0.32
224,7,-0.50,-0.37
225,1,-0.45,-0.46
225,2,-0.39,-0.23
225,3,-0.47,-0.23
225,4,-0.52,-0.28
225,5,-0.67,-0.47
225,6,-1.02,-0.57
225,7,-0.92,-0.53
226,1,7.87,0.75
226,2,-0.54,-0.14
226,3,0.01,0.21
226,4,-0.63,-0.49
226,5,-0.74,-0.22
226,6,-0.87,-0.37
226,7,-0.95,-0.37
227,1,-1.33,-0.42
227,2,-0.45,-0.60
227,3,-1.35,-0.91
227,4,-0.75,-0.60
227,5,-0.89,-0.32
227,6,-1.44,-0.34
227,7,-1.83,-0.28
228,1,0,-0.17
228,2,0,-0.52
228,3,0.34,-0.18
228,4,-1.05,-0.44
228,5,-1.91,-0.39
228,6,-0.80,-0.53
228,7,-1.01,-0.32
229,1,-0.82,-0.27
229,2,-0.63,-0.60
229,3,-0.71,-0.69
229,4,-0.89,-0.64
229,5,-0.90,-0.37
229,6,-0.99,-0.42
229,7,-1.16,-0.31
230,1,0,-0.24
230,2,-0.90,-0.44
230,3,-0.37,-0.51
230,4,0.03,-0.57
230,5,-0.69,-0.71
230,6,-0.49,-0.60
230,7,-0.43,-0.52
231,1,-0.15,-0.61
231,2,1.43,-0.12
231,3,0.08,0.36
231,4,-0.23,0.05
231,5,0.91,0.08
231,6,1.37,0.37
231,7,1.59,0.62
232,1,-0.41,-0.41
232,2,-0.44,-0.43
232,3,0.07,-0.05
232,4,-0.96,-0.69
232,5,-1.57,-0.82
232,6,-0.64,-0.51
232,7,-0.48,-0.41
233,1,0,-0.28
233,2,0,-0.28
233,3,16.41,5.08
233,4,2.69,1.64
233,5,6.42,1.27
233,6,0.90,-0.25
233,7,1.66,0.10
234,1,-0.17,-0.22
234,2,-0.54,-0.34
234,3,-0.28,-0.40
234,4,-0.21,-0.21
234,5,-0.60,-0.43
234,6,-0.95,-0.73
234,7,-0.55,-0.46
235,1,-0.89,-0.36
235,2,3.07,1.09
235,3,-0.37,-0.24
235,4,0.94,-0.21
235,5,9.67,-0.05
235,6,8.05,0.80
235,7,8.43,1.62
236,1,-0.54,-0.50
236,2,0.07,-0.27
236,3,2.09,-0.02
236,4,1.07,-0.18
236,5,0.18,-0.30
236,6,1.91,0.42
236,7,2.47,1.06
237,1,-0.38,-0.25
237,2,-0.50,-0.27
237,3,0.01,0.26
237,4,1.47,1.76
237,5,0.98,0.41
237,6,0.79,1.36
237,7,1.00,2.20
238,1,-0.71,0
238,2,-0.77,0
238,3,-0.74,0
238,4,-0.68,1.77
238,5,-0.68,0.52
238,6,-0.61,1.65
238,7,-0.65,2.56
239,1,0,-0.46
239,2,-0.67,-0.25
239,3,-0.22,-0.23
239,4,-0.19,-0.28
239,5,3.33,-0.31
239,6,1.33,-0.22
239,7,-0.48,-0.40
240,1,0,-0.50
240,2,0,0
240,3,-80.00,-0.48
240,4,-1.04,-0.46
240,5,-0.67,-0.35
240,6,0.86,-0.31
240,7,2.81,-0.54
241,1,-0.45,0.02
241,2,-0.12,-0.14
241,3,0.35,0.24
241,4,0.50,0.38
241,5,3.90,0.19
241,6,1.64,0.01
241,7,2.18,0.15
242,1,0,0
242,2,0,0
242,3,0,-1.00
242,4,0,0.44
242,5,0,1.63
242,6,0,0.51
242,7,0,0.12
243,1,-0.45,-0.20
243,2,-0.50,-0.24
243,3,-0.59,-0.29
243,4,-0.76,-0.34
243,5,-0.64,-0.37
243,6,-0.29,-0.16
243,7,-0.29,-0.17
244,1,-0.58,-0.46
244,2,-0.71,-0.26
244,3,-0.68,-0.25
244,4,-0.83,-0.29
244,5,-0.78,-0.52
244,6,-0.75,-0.65
244,7,-0.74,-0.62
246,1,0,-0.36
246,2,0,-0.56
