id,time-id,mean,sd
160.0,3,359.09,535.03
160.0,4,545.81,685.18
160.0,5,1256.88,1442.81
160.0,6,2455.69,2589.09
160.0,7,450.81,576.80
161.0,1,1.20,5.27
161.0,2,24.97,56.26
161.0,3,143.97,174.10
161.0,4,374.48,449.11
161.0,5,1295.94,1607.48
161.0,6,3627.18,4896.23
161.0,7,722.58,960.50
162.0,1,0.14,0.57
162.0,2,3.41,8.72
162.0,3,100.03,151.66
162.0,4,312.31,361.90
162.0,5,1369.83,2798.98
162.0,6,4353.55,4570.02
162.0,7,1100.72,1311.66
163.0,1,2.25,5.47
163.0,2,64.25,148.36
163.0,3,354.72,537.22
163.0,4,537.78,688.73
163.0,5,1207.94,1454.24
163.0,6,2412.81,2606.00
163.0,7,451.84,576.51
164.0,1,1.95,4.36
164.0,2,12.86,20.34
164.0,3,175.86,135.50
164.0,4,250.62,307.18
164.0,5,830.95,963.98
164.0,6,3038.00,3175.69
164.0,7,685.76,537.60
165.0,1,0.03,0.18
165.0,2,1.03,1.99
165.0,3,46.52,81.78
165.0,4,144.28,292.61
165.0,5,1634.52,4007.52
165.0,6,2293.14,3676.79
165.0,7,211.31,670.81
166.0,1,1.29,6.35
166.0,2,39.25,165.24
166.0,3,196.06,591.47
166.0,4,218.84,523.69
166.0,5,580.14,1024.69
166.0,6,1136.59,1905.72
166.0,7,272.80,440.74
167.0,1,0.36,1.02
167.0,2,1.16,5.28
167.0,3,24.96,23.41
167.0,4,187.40,169.10
167.0,5,412.60,769.23
167.0,6,1344.60,2377.22
167.0,7,607.24,976.57
168.0,1,1.28,5.30
168.0,2,24.65,56.33
168.0,3,142.17,174.28
168.0,4,372.85,449.06
168.0,5,1324.20,1615.88
168.0,6,3704.23,4927.90
168.0,7,735.21,961.35
169.0,1,1.95,4.36
169.0,2,12.95,20.29
169.0,3,173.57,137.34
169.0,4,249.05,308.14
169.0,5,823.76,967.96
169.0,6,2941.57,3189.82
169.0,7,662.38,542.34
170.0,1,8.09,24.56
170.0,2,134.26,514.84
170.0,3,2547.74,8545.21
170.0,4,5132.79,13422.80
170.0,5,12353.76,25619.20
170.0,6,20420.97,32282.30
170.0,7,4562.26,6398.23
171.0,1,0.58,1.59
171.0,2,6.81,12.74
171.0,3,125.03,68.18
171.0,4,321.17,148.72
171.0,5,1780.42,2066.80
171.0,6,4469.00,3996.25
171.0,7,483.22,418.97
172.0,1,2.97,7.13
172.0,2,11.69,21.34
172.0,3,120.72,115.80
172.0,4,644.55,935.87
172.0,5,5146.45,12073.02
172.0,6,13940.76,25966.09
172.0,7,2694.59,4692.90
173.0,1,2.97,7.13
173.0,2,13.28,22.54
173.0,3,126.41,114.41
173.0,4,653.45,932.09
173.0,5,5181.72,12066.91
173.0,6,14319.69,25929.47
173.0,7,2755.07,4686.34
174.0,1,1.69,3.10
174.0,2,10.48,17.73
174.0,3,113.28,104.36
174.0,4,499.14,564.04
174.0,5,2915.66,1852.37
174.0,6,9439.14,6140.33
174.0,7,1873.62,1072.22
175.0,1,1.29,6.35
175.0,2,39.71,165.16
175.0,3,196.49,591.35
175.0,4,219.86,523.45
175.0,5,590.04,1024.40
175.0,6,1143.45,1905.04
175.0,7,271.43,441.03
176.0,1,1.28,5.30
176.0,2,24.96,56.26
176.0,3,144.15,174.00
176.0,4,376.56,448.56
176.0,5,1326.30,1615.08
176.0,6,3729.83,4919.19
176.0,7,737.96,959.95
177.0,1,2.88,14.94
177.0,2,27.12,81.23
177.0,3,40.62,185.39
177.0,4,422.03,1923.12
177.0,5,1441.31,4505.40
177.0,6,1899.66,2233.41
177.0,7,405.19,349.53
178.0,1,0.10,0.55
178.0,2,2.90,8.46
178.0,3,93.86,151.64
178.0,4,308.93,362.97
178.0,5,1368.28,2799.40
178.0,6,4317.90,4579.60
178.0,7,1111.21,1311.98
179.0,1,0.58,1.59
179.0,2,6.92,12.74
179.0,3,127.33,72.83
179.0,4,317.33,142.81
179.0,5,1737.31,2042.74
179.0,6,4508.00,4016.08
179.0,7,478.50,417.07
180.0,1,8.09,24.56
180.0,2,134.29,514.83
180.0,3,2548.26,8545.05
180.0,4,5134.03,13422.34
180.0,5,12369.76,25611.83
180.0,6,20593.53,32195.11
180.0,7,4579.56,6388.41
181.0,1,2.25,5.47
181.0,2,60.88,148.51
181.0,3,351.31,538.11
181.0,4,469.53,586.59
181.0,5,1203.91,1452.76
181.0,6,2402.72,2606.58
181.0,7,451.75,576.54
182.0,1,2.31,5.01
182.0,2,99.94,381.62
182.0,3,703.22,2857.15
182.0,4,940.50,3286.94
182.0,5,1544.22,3017.67
182.0,6,2097.22,3197.79
182.0,7,380.41,601.24
183.0,1,2.12,4.98
183.0,2,99.78,381.65
183.0,3,699.16,2858.01
183.0,4,942.84,3286.44
183.0,5,1519.34,3017.60
183.0,6,2051.28,3197.70
183.0,7,371.28,601.22
184.0,1,1.44,3.44
184.0,2,64.03,148.44
184.0,3,354.16,537.42
184.0,4,541.81,687.34
184.0,5,1244.38,1450.93
184.0,6,2385.50,2604.59
184.0,7,454.00,575.71
185.0,1,1.29,6.35
185.0,2,39.73,165.16
185.0,3,195.71,591.55
185.0,4,215.47,523.76
185.0,5,585.88,1025.13
185.0,6,1152.86,1902.01
185.0,7,274.43,440.10
186.0,1,1.38,2.48
186.0,2,11.90,16.14
186.0,3,120.76,217.97
186.0,4,1003.81,2019.64
186.0,5,1803.81,2440.53
186.0,6,2548.48,1941.15
186.0,7,722.71,461.85
187.0,1,0.58,1.59
187.0,2,7.00,12.72
187.0,3,130.89,74.47
187.0,4,326.53,150.68
187.0,5,1777.39,2066.21
187.0,6,4556.06,4021.17
187.0,7,488.81,418.67
188.0,1,1.24,6.35
188.0,2,31.65,156.61
188.0,3,161.71,546.36
188.0,4,170.37,401.96
188.0,5,490.63,769.91
188.0,6,982.78,1550.78
188.0,7,238.78,378.02
189.0,1,2.97,7.13
189.0,2,13.00,22.57
189.0,3,120.86,115.86
189.0,4,626.14,935.62
189.0,5,5178.21,12067.66
189.0,6,14367.03,25913.21
189.0,7,2776.76,4678.28
190.0,1,0.36,1.02
190.0,2,1.16,5.28
190.0,3,25.04,23.33
190.0,4,187.84,168.63
190.0,5,419.76,767.39
190.0,6,1359.36,2373.14
190.0,7,610.88,975.13
191.0,1,1.28,5.30
191.0,2,24.58,56.33
191.0,3,142.97,174.36
191.0,4,374.28,449.13
191.0,5,1324.35,1615.83
191.0,6,3721.49,4923.08
191.0,7,732.99,962.07
192.0,1,2.25,5.47
192.0,2,63.16,148.68
192.0,3,356.78,536.34
192.0,4,538.88,688.43
192.0,5,1168.22,1423.20
192.0,6,2324.47,2567.03
192.0,7,434.66,573.41
193.0,1,0.32,1.01
193.0,2,1.16,5.28
193.0,3,22.00,21.36
193.0,4,173.72,168.90
193.0,5,390.72,764.06
193.0,6,1293.20,2372.82
193.0,7,574.56,973.66
194.0,1,1.29,2.58
194.0,2,0.00,0.00
194.0,3,347.19,696.88
194.0,4,1065.62,1592.01
194.0,5,4180.10,6779.06
194.0,6,8271.67,10133.89
194.0,7,1412.95,1546.66
195.0,1,0.07,0.25
195.0,2,0.07,0.25
195.0,3,3.33,5.66
195.0,4,97.47,60.90
195.0,5,90.47,72.81
195.0,6,153.87,282.06
195.0,7,34.07,55.98
196.0,1,0.03,0.18
196.0,2,1.03,1.99
196.0,3,47.41,81.55
196.0,4,147.90,292.21
196.0,5,1668.41,3999.77
196.0,6,2299.62,3673.83
196.0,7,211.34,670.80
197.0,1,0.04,0.20
197.0,2,3.09,10.91
197.0,3,32.43,40.36
197.0,4,161.70,165.74
197.0,5,481.65,527.25
197.0,6,2231.43,2396.49
197.0,7,623.83,978.97
198.0,1,0.03,0.18
198.0,2,1.03,1.99
198.0,3,47.66,81.44
198.0,4,149.31,291.69
198.0,5,1650.93,4004.84
198.0,6,2277.59,3682.47
198.0,7,204.79,671.90
199.0,1,2.31,5.01
199.0,2,100.47,381.51
199.0,3,701.25,2857.59
199.0,4,947.50,3285.27
199.0,5,1572.47,3009.53
199.0,6,2123.91,3187.82
199.0,7,384.88,599.58
200.0,1,0.14,0.57
200.0,2,3.41,8.72
200.0,3,98.03,152.48
200.0,4,316.79,358.99
200.0,5,1385.83,2793.20
200.0,6,4411.24,4536.71
200.0,7,1138.10,1301.26
201.0,1,1.28,5.30
201.0,2,24.77,56.32
201.0,3,144.27,173.94
201.0,4,376.72,448.49
201.0,5,1328.27,1614.15
201.0,6,3719.21,4923.97
201.0,7,733.06,962.05
202.0,1,1.27,5.30
202.0,2,24.45,56.31
202.0,3,142.77,174.37
202.0,4,367.27,445.64
202.0,5,1315.63,1617.10
202.0,6,3721.06,4923.26
202.0,7,734.46,961.63
203.0,1,8.00,24.58
203.0,2,133.65,514.99
203.0,3,2547.44,8545.29
203.0,4,5128.32,13424.43
203.0,5,12331.09,25629.04
203.0,6,20524.82,32233.73
203.0,7,4567.18,6395.61
204.0,1,2.25,5.47
204.0,2,64.31,148.33
204.0,3,359.59,534.70
204.0,4,548.53,683.26
204.0,5,1255.06,1444.21
204.0,6,2457.00,2588.20
204.0,7,454.69,575.39
205.0,1,1.29,6.35
205.0,2,39.73,165.16
205.0,3,186.92,590.05
205.0,4,215.96,523.82
205.0,5,593.10,1023.30
205.0,6,1155.37,1900.79
205.0,7,275.12,439.74
206.0,1,0.58,1.59
206.0,2,6.36,12.37
206.0,3,129.06,74.42
206.0,4,328.06,149.94
206.0,5,1807.06,2064.96
206.0,6,4558.06,4020.92
206.0,7,492.44,416.99
207.0,1,0.00,0.00
207.0,2,1.00,2.00
207.0,3,44.72,81.35
207.0,4,146.93,292.45
207.0,5,1609.83,4007.74
207.0,6,2140.31,3646.98
207.0,7,198.72,671.21
209.0,1,2.97,7.13
209.0,2,13.48,22.44
209.0,3,126.86,113.94
209.0,4,656.52,930.19
209.0,5,5234.14,12052.11
209.0,6,14422.86,25890.69
209.0,7,2779.83,4676.89
210.0,1,0.30,0.90
210.0,2,2.70,4.88
210.0,3,34.80,49.37
210.0,4,111.80,125.08
210.0,5,268.90,227.06
210.0,6,635.20,472.82
210.0,7,131.60,103.61
211.0,1,0.58,1.66
211.0,2,3.42,5.68
211.0,3,77.17,83.48
211.0,4,341.42,289.38
211.0,5,522.08,584.98
211.0,6,1830.50,1980.38
211.0,7,540.25,529.60
212.0,1,0.58,1.66
212.0,2,3.42,5.68
212.0,3,77.25,83.42
212.0,4,343.58,287.64
212.0,5,518.08,588.11
212.0,6,1837.92,1974.91
212.0,7,540.67,529.26
213.0,1,0.14,0.35
213.0,2,0.00,0.00
213.0,3,0.14,0.35
213.0,4,38.14,30.79
213.0,5,51.86,84.20
213.0,6,133.86,198.65
213.0,7,25.00,35.08
214.0,1,1.28,5.30
214.0,2,24.97,56.26
214.0,3,144.37,173.87
