id,timeid,mean,sd
134,8,99.00,142.70
134,9,139.00,182.18
134,10,184.40,199.32
134,11,182.60,158.76
134,12,247.60,201.26
134,13,369.20,342.10
134,14,498.00,494.54
134,15,673.80,699.25
134,16,877.20,834.27
134,17,1285.40,1236.44
134,18,1554.60,1352.31
134,19,2285.20,1767.61
134,20,2974.20,2036.43
134,21,3722.40,2651.90
134,22,5183.40,3565.49
134,23,5538.60,3180.10
134,24,6061.40,4283.27
134,25,6675.00,4846.45
135,1,0.00,0.00
135,2,0.00,0.00
135,3,0.83,1.86
135,4,0.83,1.46
135,5,1.33,2.56
135,6,1.67,2.62
135,7,3.17,6.23
135,8,5.83,5.98
135,9,14.50,6.60
135,10,53.83,29.13
135,11,72.17,38.89
135,12,58.83,25.70
135,13,74.17,43.03
135,14,68.33,23.99
135,15,67.00,30.61
135,16,66.83,44.30
135,17,77.50,80.28
135,18,126.33,91.56
135,19,175.33,99.64
135,20,315.83,150.13
135,21,407.33,160.54
135,22,645.17,278.31
135,23,714.33,279.33
135,24,629.33,356.10
135,25,650.17,374.43
136,1,0.00,0.00
136,2,0.17,0.37
136,3,0.83,1.21
136,4,0.50,0.76
136,5,0.17,0.37
136,6,1.17,1.34
136,7,1.17,1.67
136,8,1.17,0.69
136,9,12.67,7.34
136,10,45.33,29.45
136,11,54.00,29.59
136,12,68.67,35.12
136,13,84.50,71.69
136,14,92.17,54.36
136,15,96.83,60.43
136,16,87.33,49.48
136,17,107.67,85.87
136,18,202.50,165.24
136,19,379.17,239.93
136,20,545.33,369.99
136,21,771.00,555.31
136,22,1002.33,788.26
136,23,1108.17,1050.15
136,24,1042.17,1188.94
136,25,1019.83,1127.44
137,1,0.17,0.37
137,2,2.33,5.22
137,3,3.17,4.10
137,4,12.33,11.69
137,5,7.00,8.00
137,6,10.00,14.58
137,7,22.00,20.66
137,8,23.33,18.19
137,9,34.33,33.19
137,10,44.33,28.35
137,11,68.00,28.41
137,12,104.33,55.95
137,13,230.50,143.68
137,14,176.50,77.53
137,15,197.67,89.25
137,16,215.83,120.12
137,17,250.33,193.35
137,18,447.00,336.86
137,19,672.50,683.09
137,20,647.67,645.91
137,21,602.67,713.12
137,22,656.00,785.38
137,23,631.83,822.42
137,24,577.83,681.20
137,25,575.50,701.31
138,1,0.00,0.00
138,2,0.00,0.00
138,3,0.60,1.20
138,4,1.60,2.73
138,5,10.60,12.52
138,6,6.20,7.44
138,7,9.60,11.41
138,8,9.80,12.69
138,9,15.60,19.20
138,10,25.60,21.32
138,11,35.00,26.53
138,12,110.60,93.01
138,13,74.00,50.87
138,14,75.20,63.74
138,15,95.80,55.84
138,16,140.80,91.06
138,17,191.00,88.17
138,18,537.00,282.87
138,19,873.40,371.63
138,20,1282.20,473.10
138,21,1631.40,453.48
138,22,2349.80,873.92
138,23,2646.20,1059.02
138,24,2505.40,871.34
138,25,2728.60,1038.47
139,1,0.00,0.00
139,2,0.00,0.00
139,3,0.00,0.00
139,4,0.33,0.47
139,5,0.00,0.00
139,6,0.00,0.00
139,7,0.00,0.00
139,8,0.00,0.00
139,9,0.33,0.47
139,10,2.67,1.70
139,11,23.00,12.57
139,12,43.33,21.30
139,13,28.67,3.09
139,14,34.33,23.46
139,15,55.00,40.36
139,16,21.67,8.96
139,17,14.33,7.13
139,18,15.00,11.58
139,19,30.33,20.01
139,20,50.00,31.06
139,21,44.67,13.30
139,22,91.67,13.91
139,23,76.33,26.74
139,24,121.00,31.16
139,25,180.33,50.41
140,1,0.29,0.45
140,2,1.71,1.83
140,3,4.86,6.98
140,4,7.86,7.81
140,5,5.29,7.09
140,6,10.29,8.24
140,7,16.71,16.95
140,8,47.71,45.06
140,9,53.29,55.09
140,10,54.57,58.12
140,11,55.57,50.44
140,12,78.86,69.17
140,13,129.14,118.72
140,14,178.29,160.00
140,15,268.00,263.62
140,16,308.57,319.77
140,17,482.57,616.09
140,18,503.29,485.41
140,19,624.43,589.46
140,20,455.14,350.06
140,21,478.00,347.30
140,22,557.57,430.70
140,23,619.29,407.57
140,24,805.00,512.92
140,25,1149.29,706.93
141,1,0.00,0.00
141,2,0.00,0.00
141,3,0.00,0.00
141,4,2.20,3.92
141,5,1.60,2.73
141,6,1.00,1.55
141,7,2.00,1.90
141,8,4.20,3.60
141,9,10.40,9.29
141,10,35.40,37.58
141,11,39.40,49.85
141,12,20.60,13.89
141,13,23.40,25.10
141,14,28.20,24.59
141,15,40.80,44.50
