id,time-id,mean,sd
133.0,15,116.55,167.01
133.0,16,126.55,178.10
133.0,17,184.85,300.06
133.0,18,252.69,316.53
133.0,19,391.30,501.01
133.0,20,512.94,612.13
133.0,21,658.46,849.42
133.0,22,810.76,1048.70
133.0,23,937.06,1327.50
133.0,24,950.35,1276.68
133.0,25,1017.62,1328.13
134.0,1,1.09,3.28
134.0,2,3.41,9.94
134.0,3,13.26,50.97
134.0,4,32.44,133.10
134.0,5,55.38,196.61
134.0,6,35.29,148.59
134.0,7,148.62,614.64
134.0,8,277.85,934.36
134.0,9,405.62,1293.72
134.0,10,664.76,2352.26
134.0,11,958.18,3425.84
134.0,12,801.59,2334.22
134.0,13,984.47,2929.45
134.0,14,1161.38,3206.90
134.0,15,1489.12,4012.45
134.0,16,1879.03,4693.36
134.0,17,2184.71,5200.52
134.0,18,2395.41,5235.26
134.0,19,3099.35,6491.09
134.0,20,3592.71,7605.91
134.0,21,4142.12,8230.17
134.0,22,4438.06,7019.28
134.0,23,4623.24,7145.65
134.0,24,4837.09,7194.82
134.0,25,5855.76,8067.42
135.0,1,0.21,1.01
135.0,2,0.52,2.56
135.0,3,2.34,6.08
135.0,4,3.03,7.01
135.0,5,7.38,20.69
135.0,6,11.62,28.79
135.0,7,15.15,32.29
135.0,8,24.42,53.31
135.0,9,26.86,48.31
135.0,10,37.68,41.15
135.0,11,40.21,33.57
135.0,12,50.80,44.79
135.0,13,69.94,72.96
135.0,14,92.23,102.77
135.0,15,115.61,167.27
135.0,16,125.92,178.35
135.0,17,182.41,300.67
135.0,18,249.80,317.59
135.0,19,388.79,501.60
135.0,20,506.38,613.60
135.0,21,655.17,850.09
135.0,22,804.87,1050.39
135.0,23,930.39,1329.02
135.0,24,938.94,1278.22
135.0,25,1005.15,1329.04
136.0,1,0.21,1.01
136.0,2,0.52,2.56
136.0,3,2.30,6.08
136.0,4,3.01,7.01
136.0,5,7.35,20.70
136.0,6,11.61,28.79
136.0,7,15.14,32.29
136.0,8,24.35,53.34
136.0,9,26.92,48.29
136.0,10,38.14,41.13
136.0,11,40.15,33.54
136.0,12,50.63,44.68
136.0,13,69.93,72.96
136.0,14,92.17,102.79
136.0,15,116.39,167.08
136.0,16,125.85,178.36
136.0,17,183.23,300.62
136.0,18,251.17,317.32
136.0,19,390.73,501.22
136.0,20,508.04,613.70
136.0,21,652.59,849.96
136.0,22,800.61,1050.12
136.0,23,926.38,1328.77
136.0,24,942.30,1278.53
136.0,25,1012.15,1329.56
138.0,1,0.48,1.67
138.0,2,1.62,4.60
138.0,3,2.17,4.92
138.0,4,2.10,4.15
138.0,5,5.24,9.39
138.0,6,3.90,8.89
138.0,7,6.48,10.64
138.0,8,9.66,14.62
138.0,9,13.17,17.33
138.0,10,33.07,39.66
138.0,11,46.17,50.62
138.0,12,113.14,166.30
138.0,13,117.38,162.89
138.0,14,126.03,162.60
138.0,15,176.41,299.64
138.0,16,401.76,1126.30
138.0,17,697.31,2055.75
138.0,18,1061.52,2821.67
138.0,19,1482.28,3222.44
138.0,20,1994.31,3873.02
138.0,21,2665.38,5964.80
138.0,22,3162.24,5251.38
138.0,23,3456.14,6445.34
138.0,24,3618.21,6107.81
138.0,25,3771.03,6355.12
139.0,1,0.25,0.83
139.0,2,0.25,0.60
139.0,3,1.33,2.29
139.0,4,1.08,1.75
139.0,5,0.58,1.19
139.0,6,0.50,1.38
139.0,7,1.83,3.44
139.0,8,1.33,2.36
139.0,9,2.42,3.84
139.0,10,12.58,18.12
139.0,11,46.50,51.19
139.0,12,72.17,64.76
139.0,13,94.58,100.39
139.0,14,72.42,72.43
139.0,15,77.42,62.07
139.0,16,76.08,60.30
139.0,17,44.17,50.21
139.0,18,103.08,132.00
139.0,19,176.08,216.11
139.0,20,192.17,213.66
139.0,21,299.08,358.18
139.0,22,358.50,446.29
139.0,23,413.33,438.77
139.0,24,542.92,539.38
139.0,25,741.92,723.48
140.0,1,0.21,1.01
140.0,2,0.51,2.56
140.0,3,2.32,6.08
140.0,4,2.99,7.02
140.0,5,7.24,20.71
140.0,6,11.63,28.78
140.0,7,14.94,32.34
140.0,8,24.34,53.35
140.0,9,26.90,48.30
140.0,10,38.28,41.05
140.0,11,40.80,33.48
140.0,12,51.28,44.84
140.0,13,69.97,72.97
140.0,14,91.83,102.83
140.0,15,115.10,167.24
140.0,16,125.30,178.44
