id,timeid,z_neighbour,z_state
675,1,-0.39,-0.25
676,1,-0.51,-0.23
677,1,-0.53,-0.44
678,1,-0.94,-0.68
680,1,1.53,-0.29
681,1,-0.90,-0.73
682,1,0.44,0.03
683,1,-0.74,-0.35
684,1,-1.52,-0.56
685,1,-0.66,-0.60
686,1,-2.80,-0.91
687,1,-0.70,-0.33
688,1,-1.47,-0.54
689,1,-0.63,-0.59
690,1,0.49,-0.14
691,1,-0.43,-0.12
692,1,-0.01,-0.09
693,1,-2.57,-0.66
694,1,-1.16,-0.51
695,1,-0.43,-0.24
696,1,-0.34,-0.18
697,1,-1.74,-0.43
698,1,-0.16,0.07
699,1,-0.41,-0.40
700,1,-0.83,-0.54
701,1,-1.02,-0.40
702,1,-0.08,0.26
703,1,-1.23,0.67
704,1,-0.53,-0.44
705,1,0.51,-0.50
706,1,-0.52,-0.28
707,1,-0.50,-0.29
708,1,-1.31,-0.34
709,1,-0.40,-0.39
710,1,-1.29,-0.21
711,1,-0.06,2.69
712,1,-0.28,-0.07
713,1,-0.15,-0.42
714,1,2.20,0.48
715,1,0.90,-0.02
716,1,-0.86,0.42
717,1,0,15.37
719,1,-0.69,-0.44
720,1,-0.56,0
721,1,-0.83,-0.50
722,1,-0.57,-0.25
723,1,-8.43,-0.72
724,1,0,-0.64
725,1,-1.21,-0.44
726,1,-0.75,-0.48
727,1,-0.59,-0.62
728,1,1.69,-0.93
729,1,8.09,8.43
730,1,-1.15,-0.70
731,1,-0.47,-0.40
732,1,-0.31,-0.28
733,1,3.95,0.21
734,1,-0.89,-0.36
735,1,-1.07,-0.45
736,1,45.39,3.55
737,1,-0.46,-0.30
738,1,-0.44,-0.27
739,1,-0.57,-0.17
740,1,-0.42,-0.22
741,1,-0.70,-0.43
742,1,-1.29,-0.70
743,1,-1.77,-0.02
744,1,-0.20,-0.24
745,1,-1.07,-0.77
746,1,1.51,3.13
747,1,0.31,-0.22
748,1,0.74,0.04
749,1,-0.47,0.62
750,1,2.77,5.44
751,1,0.14,-0.36
752,1,0.67,-0.01
753,1,0.22,0.96
754,1,-1.04,-0.28
755,1,-0.73,-0.36
756,1,1.21,0.11
757,1,-0.96,-0.03
758,1,0.47,-0.18
759,1,0.26,-0.09
760,1,-0.57,-0.40
761,1,0.57,-0.04
762,1,-0.70,-0.71
763,1,-0.11,-0.55
764,1,-0.27,-0.25
765,1,0.89,-0.01
766,1,-0.65,-0.34
767,1,0.30,1.49
768,1,-0.13,-0.45
769,1,1.10,0.01
770,1,-0.19,0.24
771,1,0.85,-0.15
772,1,-0.67,-0.50
773,1,-1.67,-0.27
774,1,-0.72,-0.29
775,1,-8.64,-1.01
776,1,-38.00,-0.59
777,1,-0.10,-0.38
778,1,1.60,-0.10
779,1,-0.26,-0.31
780,1,-1.80,-0.52
781,1,-0.60,-0.30
782,1,-0.12,-0.42
783,1,16.61,0.88
784,1,-0.72,-0.06
785,1,-0.67,-0.32
786,1,6.33,1.36
787,1,-0.63,-0.03
788,1,-0.42,-0.14
789,1,-0.88,-0.21
790,1,-0.88,-0.38
791,1,-1.12,-0.18
792,1,1.05,0.06
793,1,0.72,0.33
794,1,0.12,-1.43
795,1,-0.50,-0.31
796,1,-0.35,-0.30
797,1,1.80,0.13
798,1,-0.81,-0.55
799,1,-1.34,-0.53
800,1,-0.82,-1.27
801,1,0.12,-0.02
802,1,0,-0.50
803,1,1.04,0.42
804,1,0.91,0.66
805,1,-0.69,-0.41
806,1,-0.40,0.60
807,1,-0.68,-0.51
808,1,-0.59,-0.37
809,1,1.86,-0.03
810,1,-0.75,-0.88
811,1,-0.44,-0.11
812,1,6.85,7.79
813,1,-1.05,-0.61
814,1,-1.08,-0.64
815,1,-1.08,-0.33
816,1,-0.28,-0.28
817,1,-0.82,-0.42
818,1,0.20,-0.49
819,1,-0.25,-0.46
